Nama Kelurahan,Nama Mushola,Alamat Lengkap,Luas Tanah (m2),Status Tanah,Luas Bangunan (m2),Tahun Berdiri,Kapasitas Jamaah,Jumlah Imam,Jumlah Khatib,Jumlah Muazin,Jumlah Remaja
Pasanggrahan,Mushalla Al-Ikhlas,Jl. Kp Paledang Rt.02/06,120,Wakaf,100,2003,> 50,7,-,5,20
Pasanggrahan,Mushalla At-Taqwa,Jl. Sekemala,98,Wakaf,90,1985,> 50,5,-,5,15
Pasirwangi,Mushalla Al-Istiqomah,Jl. Sekemala Rt03/11 ,48,Wakaf,48,1990,> 50,-,-,5,10
Pasanggrahan,Mushalla Nurul Iman,Seke Dangdeur Rt04/10,99,Wakaf,24,1980,> 50,5,-,-,10
-,Mushalla Cukang-Lantaran,Jl. Cijambe Rt.0602,144,Wakaf,30,1987,> 50,5,-,-,15
Pasir Endah,Mushalla Al-Barokah,Jl. Taruna Rt.04/06 Pasir Endah,62,Wakaf,24,1987,> 50,4,-,-,10
Pasirwangi,Mushalla Al-Khoer,Jl. Buka Tanah Rt.01/07 ,28,Wakaf,20,1999,> 50,5,-,-,1
Pasirwangi,Mushalla Al-Insan,Jl. Cinangka Rt04/05 ,60,Wakaf,52,1985,> 50,4,-,5,10
Pasirwangi,Mushalla Husnul Khotimah,Jl. Cipicung Rt 02/04 ,78,Wakaf,61,1992,> 50,7,-,4,10
Pasirwangi,Mushalla Anasru,Jl. Tjk Panjang Rt.05/09 ,30,Wakaf,15,1985,> 50,4,-,4,10
Pasirwangi,Mushalla Al-Muhajirin,Buka Tanah Rt.02/07 ,70,Wakaf,35,1992,> 50,5,-,4,10
Pasirwangi,Mushalla Nurul-Iman,Bbk Betawi Rt.01/08 ,30,Wakaf,20,1981,> 50,5,-,3,15
Pasirwangi,Mushalla Al-Waris,Jl. Sek Buruy Rt.03/06 ,70,Wakaf,35,1998,> 50,4,-,3,15
Pasirwangi,Mushalla Baetul-Manar,Jl. Cinangka Rt 05/05,30,Wakaf,30,1980,31 - 50,3,-,3,15
Pasirwangi,Mushalla Baetul-Hikmah,Cinangka Rt 05/05,70,Wakaf,24,1963,16 - 30,2,-,2,-
Pasirwangi,Mushalla Darul-Ulum,Cipicung Rt 05/08,52,Wakaf,42,1989,31 - 50,4,4,2,21
-,Mushalla Al-Ijtihad,Jl. Nagrog 111 Rt02/09,180,Wakaf,80,1960,> 50,5,5,4,-
Pasirjati,Mushalla Al.Mubarok,Jl. Sukalilah 11 Rt.01/03 ,91,Wakaf,70,1964,16 - 30,4,2,-,-
Pasirjati,Mushalla Al-Hidayah,Jl. Bbk Teureup 05/08 ,70,Wakaf,70,2000,31 - 50,5,4,-,-
Pasirjati,Mushalla Ar-Rohman,Jl. Bbk Teureup Rt.05/08 ,120,Wakaf,120,2003,> 50,5,3,3,-
Pasirjati,Mushalla Tpu,Jl. Bbk Teureup Rt.05/08 ,5,Wakaf,5,1996,31 - 50,5,5,-,-
-,Mushalla Kecamatan Ujung Berung,Jl. Cigending Rw.05,20,Girik,20,1990,16 - 30,2,-,2,-
-,Mushalla Smp Pgri,Jl. Sukuf Rt.02/01,200,Wakaf,100,1980,> 50,8,10,5,50
-,Mushalla Smp 8,Jl. Ujung Berung Rt.01/05,24,Wakaf,24,1975,> 50,2,2,-,50
Cijambe,Mushalla Smpn.50,Jl. Cijambe Wetan Rt 02/10 ,80,Wakaf,70,1991,> 50,5,5,5,50
Cigending,Mushalla Miftahus-Solihin,Jl. Sukuf Rt.01/01,49,Wakaf,36,1988,> 50,2,-,2,20
Pasanggrahan,Mushalla Al-Hikmah,Jl. Ciporeat Rt 02/07 ,28,Wakaf,20,1945,> 50,2,-,2,15
Pasanggrahan,Mushalla At-Taufiq,Jl. Neglasari Rt.05/05,56,Wakaf,56,1965,> 50,4,4,2,25
Pasirwangi,Mushalla Miftahul-Barokah,Rw 03 ,70,SHM,42,2010,16 - 30,7,7,1,-
Pasirwangi,Mushalla Al-Ihsan,Rw 10 ,70,Wakaf,40,1982,16 - 30,4,4,-,-
Pasirwangi,Mushalla Istiqomah,Rw 06 ,68,Wakaf,68,1980,16 - 30,4,4,1,-
Pasirwangi,Mushalla Al-Falah,Rw 08 ,100,Wakaf,100,196,31 - 50,2,2,1,-
Pasirwangi,Mushalla Al-Falah,Rw.06 ,100,Wakaf,100,1963,16 - 30,2,-,1,-
Pasirwangi,Mushalla Bani - Saibah,Rw.006 ,120,SHM,95,2012,31 - 50,1,-,1,-
Pasirwangi,Mushalla Miftahul-Barokah,Rw.03 ,70,SHM,42,2010,16 - 30,2,-,1,-
Pasirwangi,Mushalla Nurul-Iman,Rw.03 ,86,Wakaf,86,1985,16 - 30,1,1,1,-
